area,mechanism,owner,status,current,evidence,remaining
Traits,Zodiac compatibility,deep-combat-layer/09,mechanism-ready,Attacker/target zodiac and derived compatibility distance/multipliers are formula-owned.,work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Ratify open matchup constants and apply one policy across families.
Progression,Weapon Skill job/family grades,deep-combat-layer/10,mechanism-ready,"JP-derived job level, family grades, growth, caps, and over-cap conversion are expressed and tested.",work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; docs/modding/06-code-mod-runtime-dsl.md,Author the complete final job-family grade matrix.
Progression,Dual-wield active-hand routing,deep-combat-layer/10,partial-live-gated,Right/left equipment contexts and native active-hand carrier are mapped; per-strike routing remains gated.,work/1783981683-dcl-dual-wield-active-hand-offline.md; docs/modding/04-engine-memory-model.md,Live-prove hand identity for both strikes and bind damage/skill inputs.
Magic,Unified damage/heal/affinity pipeline,deep-combat-layer/11,mechanism-ready,"Magic damage, healing, Faith, Zodiac, Shell, elements, affinity, and Undead inversion share tested formula context.",work/1783983032-battle-runtime-settings.dcl-magic-pipeline-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Author final spell powers/families and run AoE/Reflect/absorb regression.
Magic,Magic Evade,deep-combat-layer/11,partial-live-gated,"Equipment-derived Magic Evade, cap, shared hit decision, forecast paint, and authored miss delivery are implemented offline.",work/1783979666-battle-runtime-settings.lt18-dcl-magic-evade.json; codemod/fftivc.generic.chronicle.codemod/RuntimeSettingsValidator.cs,"Live-prove formula-family coverage, forecast parity, and reaction suppression."
Resources,MP economy and Mana Shield,"deep-combat-layer/11,12",partial-live-gated,HP/MP debit/credit formulas and native Mana Shield redirect are mapped; native redirect is intentionally not accepted as final policy.,tools/analyze_dcl_mana_shield.py; docs/modding/04-engine-memory-model.md,Choose ratio/floor and implement atomic HP/MP result-flag presentation.
Statuses,Authored status contest and duration,deep-combat-layer/13,mechanism-ready,"Per-action 3d6 resistance, immunity, durable/effective add/remove, and target-turn duration ownership are implemented and tested.",work/1783974808-battle-runtime-settings.lt14-dcl-status-add.json; codemod/fftivc.generic.chronicle.codemod/Mod.cs,Integrate native-rider suppression and matching forecast presentation per action family.
Lifecycle,"KO, revive, instant KO and corpse state","deep-combat-layer/12,13",partial-live-gated,"Native HP/KO lifecycle, revive credit, instant-KO contest, and corpse/crystal mechanisms are mapped; direct death writes are rejected.",docs/modding/04-engine-memory-model.md; work/1783987383-dcl-bequeath-crystal-offline.md,Integrate final ability policies and regress lethal/same-hit credit/corpse transitions.
Lifecycle,Native special-action transactions,"deep-combat-layer/11,13,15",mechanism-ready,"Song/Dance cadence, Steal/Plunder and equipment-break carriers, Dark Knight formulas, paired recoil and HP/MP drain results, the Golem team pool, and Malboro transformation have reproducible current-build offline mappings; the 512-record technical classification queue is empty.",work/1784011230-dcl-offline-formula-closure-checkpoint.md; work/1784011732-dcl-equipment-break-analysis.md; work/1784011733-dcl-recoil-paired-result-analysis.md; work/1784012424-dcl-drain-transaction-analysis.md; docs/modding/04-engine-memory-model.md,Author the per-ability DCL policies and run only the targeted cardinality/persistence integration checks.
Reactions,Chance taxonomy and native effects,deep-combat-layer/13,partial-live-gated,"Exact-id courage/caution controls, miss suppression, native effect mapping, and reaction capability/manifest reports exist.",work/1784001451-dcl-reaction-capabilities.md; work/1784001451-dcl-reaction-implementation-manifest.md,Run LT23 and reaction-family verticals; resolve design-open effects.
Reactions,"Synthetic producer, retarget and effect commit",deep-combat-layer/13,partial-live-gated,Bounded producer and exact-carrier retarget controls are log-only; state-0x2C effect/cadence probe is observe-only.,work/1784001024-dcl-reaction-producer-retarget-checkpoint.md; work/1784001519-dcl-reaction-effect-boundary-checkpoint.md,"Run LT23/LT28/LT31 before one-write carrier, retarget, managed effect, and cadence."
Equipment,Item metadata exposure,deep-combat-layer/14,mechanism-ready,"Item catalog exposes slots, range, evade, attack flags, elements, affinities, options, and status families.",codemod/fftivc.generic.chronicle.codemod/ItemCatalog.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Author DCL-only Weight, DR/class, modifiers, and special-family policy."
Equipment,"Weight, armor, helmet and accessory final data",deep-combat-layer/14,design-open,"Runtime maps can express Weight and armor DR, but final per-item values and helmet/accessory policy are not ratified.",docs/deep-combat-layer/14-equipment.md; docs/deep-combat-layer/12-open-questions.md,"Resolve design, author every existing SKU, and validate Move/Dodge breakpoints."
Metadata,Ability DCL classification,"deep-combat-layer/11,13,15",metadata-authoring,"All 512 records are explicitly routed with zero unclassified, reverse-engineering, or technically blocked records; the conservative candidate classifier, approval-gated template, and fail-closed runtime overlay exist. Of 180 authoring-open rows, 174 are design-only and the remaining 6 mixed records are multistrikes.",tools/report_dcl_ability_classification.py; codemod/fftivc.generic.chronicle.codemod/AbilityCatalog.cs,"Resolve design/multistrike open fields, approve each authored row, and validate the complete overlay."
AI,AI-visible rewritten scoring,"deep-combat-layer/00,11,12",partial-live-gated,"AI traverses the shared calc entry, but apply-time rewrites are not inherently visible and caller provenance remains unproven live.",tools/analyze_dcl_calc_provenance.py; docs/modding/08-dcl-information-requirements.md,Use LT28 to classify AI calls and expose final formulas at calc/scoring time.
Integration,Unified final DCL runtime profile,deep-combat-layer/00-15,integration-missing,"Mechanism profiles are separate; no single validated profile authors the entire DCL formula, metadata, outcome, status, reaction, and lifecycle policy.",work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; work/1783983032-battle-runtime-settings.dcl-magic-pipeline-mechanism.json,Resolve design/metadata gates and compose one canonical integrated profile.
Jobs,Complete job/data authoring,deep-combat-layer/15,design-open,"Job documents cover the current roster, but review/calibration and several effects/grade budgets remain open.",docs/deep-combat-layer/15-job-authoring.md; docs/job-balance/00-job-tree.md,"Ratify every job, then author NXD/TableData/ENTD values without adding items."
Validation,Whole-DCL live regression,deep-combat-layer/00-15,regression-pending,"Offline build, smoke, validators, analyzers, and hook guards are extensive; the final integrated battle matrix does not yet exist.",codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs; tools/audit_runtime_hook_anchors.py,Run forecast/player/AI/multi-hit/AoE/status/reaction/KO/equipment/job regression on the integrated profile.
