ability_id,ability_name,formula_hex,native_mode,native_statuses,authority_class,state,owner,next_gate
127,Torrent,0x24,AllOrNothing,Frog,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
128,Tanglevine,0x24,AllOrNothing,Stop,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
129,Contortion,0x24,AllOrNothing,Petrify,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
130,Tremor,0x24,AllOrNothing,Confusion,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
131,Wind Slash,0x24,AllOrNothing,DontAct,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
132,Will-o'-the-Wisp,0x24,AllOrNothing,Sleep,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
133,Quicksand,0x24,AllOrNothing,DeathSentence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
134,Sandstorm,0x24,AllOrNothing,Darkness,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
135,Snowstorm,0x24,AllOrNothing,Silence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
136,Wind Blast,0x24,AllOrNothing,Slow,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
137,Magma Surge,0x24,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
149,Salve,0x38,Cancel,Darkness|Silence|Poison,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
155,Judgment Blade,0x2D,Separate,Stop,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
156,Cleansing Strike,0x2D,Separate,DeathSentence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
157,Northswain's Strike,0x2D,Separate,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
158,Hallowed Bolt,0x2D,Separate,Silence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
159,Divine Ruination,0x2D,Separate,Confusion,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
167,Dispelna,0x0B,Cancel,Petrify|Confusion|Silence|BloodSuck|Frog|Poison|Stop|Sleep|DontMove|DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
168,Celestial Stasis,0x41,AllOrNothing,Stop|DontMove|DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x41 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
173,Celestial Void,0x1E,Random,Darkness|Confusion|Silence|Frog|Poison|Slow|Sleep,randomfire-producer,mechanism-ready-live-gated,per-repeat formula-0x1E post-calc random-one packet producer,"Live-confirm the statically mapped selector/pre-clamp/status-apply cadence, including a repeated target."
179,Corporeal Void,0x1F,Random,Darkness|Confusion|Silence|Frog|Poison|Slow|Sleep,randomfire-producer,mechanism-ready-live-gated,per-repeat formula-0x1F post-calc random-one packet producer,"Live-confirm the statically mapped selector/pre-clamp/status-apply cadence, including a repeated target."
181,Petrify,0x38,AllOrNothing,Petrify,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
182,Shadowbind,0x38,AllOrNothing,Stop,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
183,Suffocate,0x38,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
187,Petrify,0x38,AllOrNothing,Petrify,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
188,Fowlheart,0x38,AllOrNothing,DontAct,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
189,Embrace,0x38,AllOrNothing,DontMove,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
190,Darkness,0x38,AllOrNothing,Darkness,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
191,Aphony,0x38,AllOrNothing,Silence,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
192,Befuddle,0x38,AllOrNothing,Confusion,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
193,Bind,0x38,AllOrNothing,Stop,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
194,Nightmare,0x38,Random,Sleep|DeathSentence,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
195,Ague,0x38,AllOrNothing,Slow,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
200,Blood Drain,0x47,AllOrNothing,BloodSuck,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
201,Charm,0x29,AllOrNothing,Charm,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x29 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
202,Bio,0x08,Separate,Darkness,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
203,Bio,0x08,Separate,Poison,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
204,Bio,0x08,Separate,Oil,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
205,Biora,0x0A,AllOrNothing,Frog,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
206,Biora,0x0A,AllOrNothing,Slow,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
207,Biora,0x0A,AllOrNothing,Silence,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
208,Biora,0x0A,AllOrNothing,Petrify,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
209,Bioga,0x08,Separate,Undead,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
210,Bioga,0x08,Separate,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
211,Bioga,0x08,Separate,Petrify,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
212,Aegis,0x0B,AllOrNothing,Reraise|Regen|Protect|Shell|Haste,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0B post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
213,Leg Shot,0x3F,AllOrNothing,DontMove,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x3F post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
214,Arm Shot,0x3F,AllOrNothing,DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x3F post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
215,Seal Evil,0x40,AllOrNothing,Petrify,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x40 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
219,Crushing Blow,0x67,Separate,Stop,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
221,Toadja,0x0A,AllOrNothing,Frog,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
224,Blindja,0x0A,AllOrNothing,Darkness,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
227,Confuseja,0x0A,AllOrNothing,Confusion,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
228,Sleepja,0x0A,AllOrNothing,Sleep,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
232,Dispelja,0x0A,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
234,Blind,0x0A,AllOrNothing,Darkness,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
237,Faith,0x0A,AllOrNothing,Faith,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
238,Doubt,0x0A,AllOrNothing,Innocent,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
239,Zombie,0x0A,AllOrNothing,Undead,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
240,Silence,0x0A,AllOrNothing,Silence,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
241,Berserk,0x0A,AllOrNothing,Berserk,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
243,Confuse,0x0A,AllOrNothing,Confusion,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
244,Dispel,0x0A,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
245,Disable,0x0A,AllOrNothing,DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
246,Sleep,0x0A,AllOrNothing,Sleep,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
247,Break,0x0A,AllOrNothing,Petrify,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x0A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
251,Dragon's Charm,0x5A,AllOrNothing,Invite,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x5A post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
252,Dragon's Gift,0x5B,Cancel,Darkness|Confusion|Silence|Oil|Berserk|Frog|Poison|Stop|Sleep|DontMove|DontAct,support-rider-data-suppression,mechanism-ready-live-gated,eligible numeric support result plus managed remove packet,Build the support-rider override and live-prove numeric support plus complete managed cure delivery.
262,Finishing Touch,0x38,Random,Dead|Petrify|Stop,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
268,Choco Esuna,0x51,Cancel,Petrify|Darkness|Silence|Poison|Stop|DontMove|DontAct,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x51 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
273,Eye Gouge,0x50,AllOrNothing,Darkness,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
277,Self-Destruct,0x52,AllOrNothing,Oil,conditional-rider-data-suppression,mechanism-ready-live-gated,split victim/caster result plus victim-only managed rider,Build the conditional-rider override and live-prove victim Oil plus an Oil-free caster KO result.
282,Blaster,0x3D,Random,Petrify|Stop,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x3D post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
283,Venom Fang,0x50,AllOrNothing,Poison,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
284,Blood Drain,0x47,Separate,BloodSuck,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
286,Ink,0x50,AllOrNothing,Darkness,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
287,Dischord,0x38,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
288,Mind Blast,0x3D,Random,Confusion|Berserk,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x3D post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
296,Zombie Touch,0x50,AllOrNothing,Undead,conditional-producer,mechanism-ready-live-gated,execution-only formula-0x50 post-calc packet producer,"Live-prove one formula-0x0A, one formula-0x0B, and one random-one carrier; then bind authored forecast/AI probability."
