area,mechanism,owner,status,current,evidence,remaining
Traits,Faith magic output/vulnerability inputs,"deep-combat-layer/11,13,15",mechanism-ready,"Raw/effective Faith and magic pipeline variables support output, healing, vulnerability, and status resistance.",work/1783983032-battle-runtime-settings.dcl-magic-pipeline-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Run integrated magic regression with sentinel curves; final balance policy is out of scope.
Traits,Zodiac compatibility inputs,deep-combat-layer/13,mechanism-ready,Attacker/target zodiac and derived compatibility distance/multipliers are formula-owned.,work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Apply one sentinel matrix across representative magic, healing, and status families."
Progression,Weapon Skill aptitude and Rank inputs,deep-combat-layer/03,partial-live-gated,"The canonical A-E aptitude table and Rank-to-GURPS-score rules are implemented offline. Existing Job Level and equipment-family runtime inputs are reusable, while the earlier configurable family-grade curve is superseded.",codemod/fftivc.generic.chronicle.codemod/DclPhysicalRules.cs; codemod/fftivc.generic.chronicle.codemod/FormulaRuntimeContextBuilder.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Load authored aptitude Tier/difficulty for each legal family and bind the canonical score to forecast, AI, and execution."
Progression,Dual-wield active-weapon routing,"deep-combat-layer/03,06",mechanism-ready,"For action type 1, orderRecord+8 is the exact weapon item id used by native formula dispatch. The calc ring, action context, formula variables, weapon-skill profile, and hit-decision key retain it end to end. Different equipped ids identify right/left; identical ids remain side-ambiguous but route through the same exact weapon family and skill.",tools/analyze_dcl_active_weapon_payload.py; work/1784078789-dcl-active-weapon-payload-checkpoint.md; codemod/fftivc.generic.chronicle.codemod/FormulaRuntimeContextBuilder.cs; codemod/fftivc.generic.chronicle.codemod/DclHitDecisionCache.cs,Live-confirm that native Dual Wield emits two separate result transactions and preserves each strike's payload; weapon/skill routing itself is closed offline.
Magic,Unified damage/heal/affinity pipeline,"deep-combat-layer/11,13,14",partial-live-gated,"The exact canonical resolver owns shared Base/target SpellScore classification, Faith, Zodiac, magical dice, critical healing, element/Absorb/Null precedence, strongest source boost, Shell, Oil, healing caps, and one-time Reflect routing without universal Magic Evade.",codemod/fftivc.generic.chronicle.codemod/DclMagicResolution.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind current unit/item/state inputs and native HP/status/result carriers, then prove representative injury, healing, Absorb, Oil, and Reflect verticals."
Magic,Internal Direct resistance and magical defense routing,deep-combat-layer/13,partial-live-gated,"External Projectile, Beneficial, and Internal Direct now have separate exact delivery resolvers. Internal Direct makes one target Quick Contest, awards ties to resistance, and never consults the historical universal Magic-Evade percentage path.",docs/deep-combat-layer/13-magic-resolution-and-defenses.md; codemod/fftivc.generic.chronicle.codemod/DclMagicResolution.cs; codemod/fftivc.generic.chronicle.codemod/DclMagicActionGates.cs,"Bind authored delivery classifiers and target resistance snapshots to forecast, AI, and the execution carrier, then retire the old Magic-Evade arm from the integrated profile."
Magic,RandomFire multistrike carrier,"deep-combat-layer/13,16,18",mechanism-ready,"All 16 RandomFire records are mapped. The native flag selects exactly one eligible target and runs one ordinary calculation per repeat; formulas 0x1E/0x1F use the exact weighted 1..10 distribution and formula 0x5E uses X+1. Native count/index globals drive spell-level hit-decision retention, while status plans remain per repeated result.",tools/analyze_dcl_multistrike_transactions.py; codemod/fftivc.generic.chronicle.codemod/DclNativeRepeat.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs; work/1784015549-randomfire-cardinality-live-plan.md,"Live-confirm selector, pre-clamp, HP/status apply, presentation ordering, and repeated selection of the same target."
Resources,Atomic HP/MP economy and redirect replacement,"deep-combat-layer/11,12",partial-live-gated,"The canonical resource layer owns exact final MP cost, pre-confirmation MP+HP forecast, explicit ApprovedHPCap authorization, pre-gate ResourceFailure, outcome settlement, MP-first debit, and legal lethal overcast. Existing native result flags and HP/MP apply carriers remain reusable.",codemod/fftivc.generic.chronicle.codemod/DclMagicResourcesAndCasting.cs; codemod/fftivc.generic.chronicle.codemod/DclResultFlags.cs; tools/analyze_dcl_result_flags.py; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the commitment to declaration UI/AI and atomically settle through the native HP/MP carrier, then prove ResourceFailure and lethal-overcast verticals."
Statuses,Authored status contest and duration,"deep-combat-layer/08,14",partial-live-gated,"The ordinary HP-result carrier is live-proven: one basic Attack preserved its natural 14 HP debit, staged Blind only in the native add packet, produced the 0x88 HP-plus-status composite, displayed Blind through native delivery, and retained Auto-Potion as an independent downstream Reaction. Per-action 3d6 resistance, immunity, and target-turn duration ownership are implemented and tested. Twenty-two status-only actions have fail-closed retained carriers. Twenty-six ordinary damage riders are data-suppressible; support, split-result, grouped, drain, and lifecycle exceptions retain dedicated owners. The execution-only catalog-verified producer owns 82 conditional actions, two performance actions, and the two RandomFire Void actions. Performance preserves the native caster-Sleep gate; RandomFire stages one fresh exact seven-bit random-one packet per repeated result. Every owned bit is atomically replaced in the paired native packet. The exact 150-action status inventory has one mechanism owner per action, zero unowned rows, and no remaining special transaction category.",work/1784097430-lt32-dcl-native-status-packet-live.log; work/1784097818-lt32-native-status-packet-live-checkpoint.md; tools/analyze_dcl_native_status_packet_live.py; work/1783974808-battle-runtime-settings.lt14-dcl-status-add.json; work/1784068553-battle-runtime-settings.dcl-dragon-gift-rider.json; work/1784068927-battle-runtime-settings.dcl-self-destruct-rider.json; codemod/fftivc.generic.chronicle.codemod/DclStatusPacket.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusGroups.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusNativeCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusGroupedCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusConditionalCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusConditionalProducer.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs; tools/analyze_dcl_status_transactions.py; tools/analyze_dcl_status_authority.py; tools/analyze_dcl_status_conditional_producer.py; tools/build_neuter_data.py,"Live-prove RandomFire per-repeat packet integration, Song/Dance tick cadence and cleanup, plus representative retained and split-result carrier verticals; the ordinary LT32 add carrier is closed."
Lifecycle,"KO, revive, instant KO and corpse state","deep-combat-layer/05,08,14",partial-live-gated,"Native HP/KO lifecycle and formula-owned revive credit are live-proven; direct death writes are rejected. The data-neutralized Death vertical proves that instant KO composes with the AI-facing compute-point writer: AI receives exact 3d6 expected lethal debit, confirmed execution rolls once, cached resistance or lethal debit reaches native HP apply without a second contest, and the legacy KO path remains unused. Raise proves that the writer can replace native staged revive credit while native apply clamps to MaxHP and clears Dead only after restoring HP. Corpse/crystal mechanisms remain mapped offline.",tools/analyze_dcl_instant_ko_compute.py; tools/analyze_dcl_raise_revive.py; work/1784093540-lt37a-dcl-instant-ko-compute-resist-resolved-live.log; work/1784093827-lt37b-dcl-instant-ko-compute-ko-resolved-live.log; work/1784096430-lt38-dcl-raise-revive-live.log; work/1784096697-lt38-raise-revive-live-checkpoint.md; codemod/fftivc.generic.chronicle.codemod/DclLifecycle.cs; codemod/fftivc.generic.chronicle.codemod/DclComputePointNumericPlan.cs; work/1784090430-dcl-compute-point-family-closure.md; docs/modding/04-engine-memory-model.md; work/1783987383-dcl-bequeath-crystal-offline.md,"Regress corpse/crystal transitions if their native formula, status metadata, or lifecycle tail changes."
Lifecycle,Native special-action transactions,"deep-combat-layer/10,16",mechanism-ready,"Song/Dance cadence, steal/equipment-break carriers, paired recoil and HP/MP drain results, the team pool, and transformation have reproducible current-build offline mappings; the 512-record technical classification queue is empty.",work/1784011230-dcl-offline-formula-closure-checkpoint.md; work/1784011732-dcl-equipment-break-analysis.md; work/1784011733-dcl-recoil-paired-result-analysis.md; work/1784012424-dcl-drain-transaction-analysis.md; docs/modding/04-engine-memory-model.md,Run targeted cardinality/persistence integration checks with sentinel rules; per-ability balance policy is out of scope.
Reactions,Activation modes and native effects,deep-combat-layer/18,partial-live-gated,"Normalized Reaction records and fail-closed validation own AutomaticTrigger, SkillResponse, one-reference ActivationRoll, eligibility-before-RNG, exact forecast, costs/uses, source/target binding, and once-per-window/native cardinality without raw Brave. Existing accepted-order and native effect carriers remain proven.",codemod/fftivc.generic.chronicle.codemod/DclReactionContract.cs; work/1784105715-lt23-rion-counter-pass2-live-analysis.md; work/1784106074-lt23-auto-potion-pass2-live-analysis.md; tools/analyze_dcl_reaction_commit_live.py; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Bind normalized metadata to the one post-ActionInstance accepted-order/effect window and prove all three activation modes without a universal Brave or HT roll.
Reactions,"Synthetic producer, accepted-order transformation and commit","deep-combat-layer/16,18",partial-live-gated,"LT31 proves that pass-2 commit owns accepted-Reaction cardinality, while state 0x2C owns delivered transaction/strike cardinality. LT39 proves live that accepted boundary 0x2063BD owns the complete type/payload/item/target order before actor construction and that selected unit-table versus actor indices are separate namespaces. The fail-closed exact-carrier accepted-order controller is offline-tested. The generic synthetic-Reaction transaction composes an exact equipped-carrier successful-result reservation with a survivor guard, configurable taxonomy roll, dynamic empty-slot producer, guarded action/target rewrite, producer-owned pass-2 commit, and once-per-attacker-action cadence. It embeds no job, fixed carrier, or managed effect.",work/1784110061-lt39-dcl-reaction-materialization-live-result.md; work/1784109869-lt39-dcl-reaction-materialization-live.log; tools/analyze_dcl_reaction_materialization_live.py; tools/analyze_dcl_reaction_order_rewrite.py; tools/analyze_dcl_synthetic_reaction_transaction.py; codemod/fftivc.generic.chronicle.codemod/DclSyntheticReaction.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs,"Run one validator-clean neutral carrier profile in log-only mode, then a bounded live carrier production/order-delivery vertical with wrong-source and duplicate-cadence controls."
Equipment,Item metadata exposure and DCL sidecar,deep-combat-layer/06,metadata-authoring,"Item catalog exposes native slots, range, evade, attack flags, elements, affinities, options, and status families; formula maps can supply DCL-only Weight, DR/class, modifiers, and special-family fields without changing item SKUs.",codemod/fftivc.generic.chronicle.codemod/ItemCatalog.cs; work/1783984192-dcl-item-sidecar.csv; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Validate representative sentinel metadata through movement, Dodge, DR, damage, and affinity formulas; final per-item values are out of scope."
Metadata,Ability carrier classification and normalized overlay,deep-combat-layer/19,metadata-authoring,"All 512 native records have a technical carrier classification, which remains reusable evidence. That older coarse overlay is not the document-19 profile; canonical actions must additionally normalize source, skill, resource, timing, target, delivery, magnitude, effects, transaction, critical, presentation, and AI fields.",tools/report_dcl_ability_classification.py; codemod/fftivc.generic.chronicle.codemod/AbilityCatalog.cs; codemod/fftivc.generic.chronicle.codemod/DclAuthoringContract.cs,Generate document-19 profiles from approved carrier mappings and fail closed on every incomplete action without assigning final job kits.
AI,AI-visible rewritten scoring,deep-combat-layer/09,proven-live,"Enemy think-time sweeps consume the normalized staged bundle after 0x281F12 for target ranking. The permanent numeric writer publishes the complete formula-owned HP/MP bundle and flags there, leaves ordinary AI evaluations transient, caches only confirmed execution, and reuses that exact result at 0x30A5D7. LT36 proves target ranking and cached delivery. The charged Death vertical proves exact 3d6 expected lethal debit during AI evaluation and one cached sampled contest at execution.",tools/analyze_dcl_ai_scoring_boundary.py; tools/analyze_dcl_instant_ko_compute.py; tools/analyze_dcl_calc_provenance.py; work/1784089635-lt36-compute-point-writer-live-result.md; work/1784089584-lt36b-compute-point-delivery-live.log; work/1784093540-lt37a-dcl-instant-ko-compute-resist-resolved-live.log; work/1784093827-lt37b-dcl-instant-ko-compute-ko-resolved-live.log; work/1784090430-dcl-compute-point-family-closure.md; codemod/fftivc.generic.chronicle.codemod/DclComputePointCache.cs; codemod/fftivc.generic.chronicle.codemod/DclComputePointNumericPlan.cs; docs/modding/08-dcl-information-requirements.md,"Regress representative healing, MP, miss/output-control, multistrike, AoE, and authored status-scoring families in the integrated profile."
Integration,Unified DCL mechanism runtime profile,deep-combat-layer/00-19,integration-missing,"Strict fail-closed composition and freshness validation merge physical contest, numeric magic, and live-proven Instant-KO mechanisms into one validator-clean scaffold. Runtime/data pairing proves enabled technical rules have matching neutralized carriers. Status, synthetic Reaction, lifecycle, item metadata, and multistrike mechanisms are not yet all composed together.",tools/compose_runtime_settings.py; tools/validate_dcl_runtime_data_pair.py; work/1784094553-dcl-runtime-composition-manifest.json; work/1784094553-dcl-death-runtime-data-pair.json; work/1784094553-battle-runtime-settings.dcl-integration-scaffold.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Extend the manifest into one canonical sentinel mechanism profile without importing any job or final balance decision.
Validation,Whole-DCL mechanism live regression,deep-combat-layer/00-19,regression-pending,"Offline build, smoke, validators, analyzers, and hook guards are extensive; the final integrated technical battle matrix does not yet exist.",codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs; tools/audit_runtime_hook_anchors.py,Run forecast/player/AI/multi-hit/AoE/status/reaction/KO/equipment regression on the integrated sentinel profile.
Metadata,Normalized action and state authoring contract,deep-combat-layer/19,metadata-authoring,"The runtime now has normalized action and persistent-state types plus fail-closed validation for safe defaults, delivery/magnitude/effect unions, cardinality, state lifecycle, presentation/AI ownership, and revision consistency.",docs/deep-combat-layer/19-action-and-state-authoring-contract.md; codemod/fftivc.generic.chronicle.codemod/DclAuthoringContract.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Materialize the storage loader and bind the normalized registry across item metadata, forecast, AI, and execution without importing final content values."
Numeric core,"Shared rounding, 3d6, forecast and RNG contract",deep-combat-layer/17,mechanism-ready,"The DCL now has one numerical owner for rounding, clamps, universal success rolls, criticals, Quick Contests, exact forecast spaces, percentage rolls, and execution-only random draws. Physical defense and status resistance share one runtime classifier.",docs/deep-combat-layer/17-numeric-resolution-contract.md; codemod/fftivc.generic.chronicle.codemod/DclNumericContract.cs; codemod/fftivc.generic.chronicle.codemod/DclSuccessRoll.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Apply the same classifier and stable roll-site identity to every remaining magic, recovery, concentration, and reaction implementation path."
Action lifecycle,"Outer action, batch, strike and Reaction transaction",deep-combat-layer/18,partial-live-gated,"The runtime transaction model owns stable battle/unit/action/Strike identity, ordered target snapshots, finite defense resources, KO short-circuiting, native-immediate versus deferred effects, ResourceFailure, stable commit, and exactly one post-action Reaction window.",docs/deep-combat-layer/18-action-transactions-and-reactions.md; codemod/fftivc.generic.chronicle.codemod/DclActionTransaction.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the pure transaction to the affected-target builder, native result/apply order, Reaction commit boundary, player forecast, and AI."
Characteristics,Primary/secondary attributes and pool reconciliation,deep-combat-layer/01,partial-live-gated,"The pure resolver owns additive ST/DX/IQ, every Brave-to-HT anchor, HP/MP/Will, exact Basic Lift and quarter-point Basic Speed, Move/Jump/Dodge derivation, and nonhealing pool reconciliation.",codemod/fftivc.generic.chronicle.codemod/DclCharacteristics.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Map reinterpreted character/job/item/state inputs to native storage and prove battle/UI refresh without inventing healing or Injury events.
Turns,"Rank initiative, fixed CT cadence, and Movement/Action resources",deep-combat-layer/02,partial-live-gated,"The pure resolver sorts exact Basic Speed/DX/stable slot, assigns rank CT, applies fixed global gain with exact Haste/Slow, resets granted turns to zero, and spends independent Movement/Action resources.",codemod/fftivc.generic.chronicle.codemod/DclCharacteristics.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Map quarter-point CT storage and native turn grants, then preserve FFT Movement/Action ordering and UI legality."
Physical,Aptitude skills and active-defense formulas,deep-combat-layer/03,partial-live-gated,"The canonical aptitude table, GURPS skill bands, Dodge/Parry/Block formulas, defense priority, exact ParryLoad precedence, and BasicLift limit are implemented and tested offline.",codemod/fftivc.generic.chronicle.codemod/DclPhysicalRules.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Load authored aptitude/equipment/state inputs and replace the legacy live physical-contest profile at the per-Strike transaction boundary.
Equipment,Exact Weight and encumbrance bands,deep-combat-layer/06,partial-live-gated,Exact Weight/BasicLift ratios select the five canonical bands and apply floored Move/Jump multipliers plus Dodge penalties at every inclusive boundary.,codemod/fftivc.generic.chronicle.codemod/DclEquipmentAndRanged.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Author/load item Weight and connect the result to native Move, Jump, Dodge, equipment changes, and Critical postprocessing."
Ranged,"Distance, Aim, and projectile defense legality",deep-combat-layer/07,partial-live-gated,"All distance bands, Effective Skill, Accuracy/Aim steps, target-bound retention, and Bow/Crossbow/Gun/Thrown defense legality are implemented and tested offline.",codemod/fftivc.generic.chronicle.codemod/DclEquipmentAndRanged.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Bind native trajectory/range/facing/posture checks and persist/present Aim through the custom-state registry.
States,Persistent-state registry and deterministic scheduler,"deep-combat-layer/08,14,18,19",partial-live-gated,"A battle-generation registry owns stable state identities, typed payloads, source binding, all canonical stacking policies, cures and cleanup, every duration clock, evaluation clones, and global tick-before-expiry ordering by stable instance identity.",codemod/fftivc.generic.chronicle.codemod/DclStateRegistry.cs; codemod/fftivc.generic.chronicle.codemod/DclAuthoringContract.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind native/custom state storage, turn/global CT events, tick ActionInstances, cure/dispel carriers, and presentation without changing scheduler order."
States,Universal posture and status rules,"deep-combat-layer/05,08,14",partial-live-gated,"Pure rules own strict Critical HP, Stun turn recovery, Knocked Down, raw-Injury Shock, Brave temperament, hostile status/Dispel contests, duration, EffectStrength, and typed payload semantics for the universal custom states.",codemod/fftivc.generic.chronicle.codemod/DclPostureAndStatusRules.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Connect action legality, native pose/palette/icon/status packets, target/source cleanup, and selected-unit detail to the registry."
Magic,"Cast declaration, targeting, area, and gate cardinality","deep-combat-layer/09,11,12,13,18,19",partial-live-gated,"Declaration freezes FinalMPCost, ApprovedHPCap, CastCT, due CT, identity, and declaration tile; unit/fixed/caster centers resolve canonically. Stable area snapshots filter target policy, while None, per-Strike Dodge, per-target Quick Contest, critical bypass, and one-roll riders enforce exact RNG cardinality.",codemod/fftivc.generic.chronicle.codemod/DclMagicTargeting.cs; codemod/fftivc.generic.chronicle.codemod/DclMagicActionGates.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind current map/unit snapshots, charge scheduling, forecast/AI, native area enumeration, and per-Strike result delivery."
Position,"Canonical arcs, awareness, Reach, and location DR","deep-combat-layer/04,08",partial-live-gated,"The pure classifier owns inclusive-diagonal Front/Side/Back, lateral shield side, legal-defense modifiers, Blind, immediate/delayed Invisibility, Reach 1/2, and combined versus explicit Body/Head DR.",codemod/fftivc.generic.chronicle.codemod/DclFacingAndTargeting.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the proven native facing byte to cardinal vectors, consume native path/height verdicts, and share the result across forecast, AI, and execution."
Turns,"Ready, Reequip, Stand Up, and equipment action state","deep-combat-layer/02,03,08,18",partial-live-gated,"Atomic turn commands spend the canonical resource combination. Per-weapon state distinguishes UnreadyAfterAttack from Unbalanced Parry loss, clears only the latter on the owner's turn, and preserves every defensive resource through Reequip.",codemod/fftivc.generic.chronicle.codemod/DclUniversalActions.cs; codemod/fftivc.generic.chronicle.codemod/DclCharacteristics.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind command availability, equipment identity per hand, native turn grants, selected-equipment presentation, and transaction commit."
Progression,Deterministic fractional Character Growth,"deep-combat-layer/01,15",partial-live-gated,"The exact micro-unit core validates six-decimal nonnegative vectors and equal budgets, retains lifetime per-channel fractions across job order, awards each Character Level once, migrates pre-DCL saves conservatively, and disables unknown newer schemas without data loss.",codemod/fftivc.generic.chronicle.codemod/DclCharacterGrowth.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Add versioned roster serialization and atomic native level-up/save commit, then author and validate real job vectors separately from the mechanism."
Lifecycle,"Revive, Reraise, and explicit Undead family policy","deep-combat-layer/14,19",partial-live-gated,"The pure profile owns eligible states, immediate versus stored Reraise, one-or-explicitly-paid-both Faith axes, positive-credit-before-KO-clear, and a fail-closed three-axis Undead table for every required effect family.",codemod/fftivc.generic.chronicle.codemod/DclReviveAndUndead.cs; codemod/fftivc.generic.chronicle.codemod/DclLifecycle.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Bind the plan to proven native HP/revive/death-clock/Reraise carriers and author each real effect family's explicit table row.
Presentation,"Persistent-state position, palette, icon, and detail resolver","deep-combat-layer/08,09,19",partial-live-gated,"The pure resolver owns canonical one-position and palette precedence, KO suppression, Invisibility layering, symbolic existing-asset icons, Shock counters, and complete selected-state detail from the normalized instance.",codemod/fftivc.generic.chronicle.codemod/DclStatePresentation.cs; codemod/fftivc.generic.chronicle.codemod/DclStateRegistry.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Resolve symbolic assets through the native catalogs and bind pose, palette, icon row, selection detail, and command disablement UI."
Forecast,Correlated multi-target magic probability,"deep-combat-layer/09,12,13,17",partial-live-gated,"Exact rational enumeration shares the one caster draw, then branches target-relative SpellScore, critical bypass, Dodge, and Quick Contest conditionally. It exposes per-target delivery and the full delivered-target-count distribution.",codemod/fftivc.generic.chronicle.codemod/DclMagicCorrelatedForecast.cs; codemod/fftivc.generic.chronicle.codemod/DclMagicResolution.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Bind the correlated result to player area forecast and AI valuation without sampling execution RNG.
