scenario_set_version,scenario_id,phase,attacker_profile,attacker_job,target_profile,target_job,target_armor_class,family,damage_type,formula_or_routine,damage_on_hit,expected_damage_after_hit_rate,min,max,type_response,uncapped_total_multiplier,total_multiplier,technical_verdict,attacker_effective_stats,attacker_equipment_context,attacker_level_or_band,baseline_comparison,damage_spec_version,design_verdict,hit_count,hit_rate,hit_rate_assumption,mode_or_expected_value,open_proof_needs,player_signal_check,support_context,target_effective_stats,target_level_or_band,target_status_or_element_context
scenario-set-v0,early-none-ninja_blade-vs-plate,early,family-representative,Ninja,T-PLATE,Knight,plate,ninja_blade,swing,spd_pa_wp,25,25,25,25,0.65,0.65,0.65,"conceptually viable, pending verified-baseline re-sim","{""hp"":105,""pa"":6,""ma"":4,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,25,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-ninja_blade-vs-mail,early,family-representative,Ninja,T-MAIL,Geomancer,mail,ninja_blade,swing,spd_pa_wp,29,29,29,29,0.75,0.75,0.75,"conceptually viable, pending verified-baseline re-sim","{""hp"":105,""pa"":6,""ma"":4,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,29,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-ninja_blade-vs-leather,early,family-representative,Ninja,T-LEATHER,Archer,leather,ninja_blade,swing,spd_pa_wp,37,37,37,37,0.95,0.95,0.95,"conceptually viable, pending verified-baseline re-sim","{""hp"":105,""pa"":6,""ma"":4,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,37,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-ninja_blade-vs-cloth,early,family-representative,Ninja,T-CLOTH,Black Mage,cloth,ninja_blade,swing,spd_pa_wp,39,39,39,39,1.0,1.0,1.0,"conceptually viable, pending verified-baseline re-sim","{""hp"":105,""pa"":6,""ma"":4,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,39,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-longbow-vs-plate,early,family-representative,Archer,T-PLATE,Knight,plate,longbow,missile,spd_pa_wp,38,38,38,38,0.8450000000000001,0.8450000000000001,0.8450000000000001,"conceptually viable, pending verified-baseline re-sim","{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,38,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-longbow-vs-mail,early,family-representative,Archer,T-MAIL,Geomancer,mail,longbow,missile,spd_pa_wp,49,49,49,49,1.1,1.1,1.1,"conceptually viable, pending verified-baseline re-sim","{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,49,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-longbow-vs-leather,early,family-representative,Archer,T-LEATHER,Archer,leather,longbow,missile,spd_pa_wp,43,43,43,43,0.9724999999999999,0.9724999999999999,0.9724999999999999,"conceptually viable, pending verified-baseline re-sim","{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,43,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-longbow-vs-cloth,early,family-representative,Archer,T-CLOTH,Black Mage,cloth,longbow,missile,spd_pa_wp,45,45,45,45,1.0150000000000001,1.0150000000000001,1.0150000000000001,"conceptually viable, pending verified-baseline re-sim","{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,45,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-crossbow-vs-plate,early,family-representative,Archer,T-PLATE,Knight,plate,crossbow,missile,pa_wp,38,38,38,38,0.905,0.905,0.905,"conceptually viable, pending verified-baseline re-sim","{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,38,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-crossbow-vs-mail,early,family-representative,Archer,T-MAIL,Geomancer,mail,crossbow,missile,pa_wp,46,46,46,46,1.1,1.1,1.1,"conceptually viable, pending verified-baseline re-sim","{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,46,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-crossbow-vs-leather,early,family-representative,Archer,T-LEATHER,Archer,leather,crossbow,missile,pa_wp,42,42,42,42,1.0025,1.0025,1.0025,"conceptually viable, pending verified-baseline re-sim","{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,42,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-crossbow-vs-cloth,early,family-representative,Archer,T-CLOTH,Black Mage,cloth,crossbow,missile,pa_wp,43,43,43,43,1.0350000000000001,1.0350000000000001,1.0350000000000001,"conceptually viable, pending verified-baseline re-sim","{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,43,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-gun-vs-plate,early,family-representative,Chemist,T-PLATE,Knight,plate,gun,missile,wp_wp,36,36,36,36,1.01,1.01,1.01,"conceptually viable, pending verified-baseline re-sim","{""hp"":120,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,36,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-gun-vs-mail,early,family-representative,Chemist,T-MAIL,Geomancer,mail,gun,missile,wp_wp,39,39,39,39,1.1,1.1,1.1,"conceptually viable, pending verified-baseline re-sim","{""hp"":120,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,39,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-gun-vs-leather,early,family-representative,Chemist,T-LEATHER,Archer,leather,gun,missile,wp_wp,37,37,37,37,1.0550000000000002,1.0550000000000002,1.0550000000000002,"conceptually viable, pending verified-baseline re-sim","{""hp"":120,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,37,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-gun-vs-cloth,early,family-representative,Chemist,T-CLOTH,Black Mage,cloth,gun,missile,wp_wp,38,38,38,38,1.07,1.07,1.07,"conceptually viable, pending verified-baseline re-sim","{""hp"":120,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,38,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-spear-vs-plate,early,family-representative,Dragoon,T-PLATE,Knight,plate,spear,thrust,pa_wp,31,31,31,31,0.6950000000000001,0.6950000000000001,0.6950000000000001,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":2,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,31,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-spear-vs-mail,early,family-representative,Dragoon,T-MAIL,Geomancer,mail,spear,thrust,pa_wp,49,49,49,49,1.1,1.1,1.1,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":2,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,49,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-spear-vs-leather,early,family-representative,Dragoon,T-LEATHER,Archer,leather,spear,thrust,pa_wp,43,43,43,43,0.965,0.965,0.965,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":2,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,43,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-spear-vs-cloth,early,family-representative,Dragoon,T-CLOTH,Black Mage,cloth,spear,thrust,pa_wp,45,45,45,45,1.01,1.01,1.01,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":2,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,45,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-staff-vs-plate,early,family-representative,White Mage,T-PLATE,Knight,plate,staff,crush,ma_wp,48,48,48,48,1.15,1.15,1.15,"conceptually viable, pending verified-baseline re-sim","{""hp"":120,""pa"":4,""ma"":6,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,48,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-staff-vs-mail,early,family-representative,White Mage,T-MAIL,Geomancer,mail,staff,crush,ma_wp,39,39,39,39,0.95,0.95,0.95,"conceptually viable, pending verified-baseline re-sim","{""hp"":120,""pa"":4,""ma"":6,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,39,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-staff-vs-leather,early,family-representative,White Mage,T-LEATHER,Archer,leather,staff,crush,ma_wp,42,42,42,42,1.0,1.0,1.0,"conceptually viable, pending verified-baseline re-sim","{""hp"":120,""pa"":4,""ma"":6,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,42,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-staff-vs-cloth,early,family-representative,White Mage,T-CLOTH,Black Mage,cloth,staff,crush,ma_wp,42,42,42,42,1.0,1.0,1.0,"conceptually viable, pending verified-baseline re-sim","{""hp"":120,""pa"":4,""ma"":6,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,42,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-rod-vs-plate,early,family-representative,Black Mage,T-PLATE,Knight,plate,rod,crush,ma_wp,46,46,46,46,1.15,1.15,1.15,"conceptually viable, pending verified-baseline re-sim","{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,46,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-rod-vs-mail,early,family-representative,Black Mage,T-MAIL,Geomancer,mail,rod,crush,ma_wp,38,38,38,38,0.95,0.95,0.95,"conceptually viable, pending verified-baseline re-sim","{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,38,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
