scenario_set_version,scenario_id,phase,attacker_profile,attacker_job,target_profile,target_job,target_armor_class,family,damage_type,formula_or_routine,damage_on_hit,expected_damage_after_hit_rate,min,max,type_response,uncapped_total_multiplier,total_multiplier,technical_verdict,attacker_effective_stats,attacker_equipment_context,attacker_level_or_band,baseline_comparison,damage_spec_version,design_verdict,hit_count,hit_rate,hit_rate_assumption,mode_or_expected_value,open_proof_needs,player_signal_check,support_context,target_effective_stats,target_level_or_band,target_status_or_element_context

scenario-set-v0,early-none-knight_sword-vs-mail,early,family-representative,Knight,T-MAIL,Squire,mail,knight_sword,swing,br_pa_wp,60,60,60,60,0.75,0.75,0.75,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,60,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-knight_sword-vs-leather,early,family-representative,Knight,T-LEATHER,Archer,leather,knight_sword,swing,br_pa_wp,76,76,76,76,0.95,0.95,0.95,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,76,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-knight_sword-vs-cloth,early,family-representative,Knight,T-CLOTH,Black Mage,cloth,knight_sword,swing,br_pa_wp,80,80,80,80,1.0,1.0,1.0,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,80,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-katana-vs-plate,early,family-representative,Samurai,T-PLATE,Knight,plate,katana,swing,br_pa_wp,32,32,32,32,0.65,0.65,0.65,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":112,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,32,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-katana-vs-mail,early,family-representative,Samurai,T-MAIL,Squire,mail,katana,swing,br_pa_wp,37,37,37,37,0.75,0.75,0.75,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":112,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,37,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-katana-vs-leather,early,family-representative,Samurai,T-LEATHER,Archer,leather,katana,swing,br_pa_wp,47,47,47,47,0.95,0.95,0.95,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":112,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,47,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-katana-vs-cloth,early,family-representative,Samurai,T-CLOTH,Black Mage,cloth,katana,swing,br_pa_wp,50,50,50,50,1.0,1.0,1.0,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":112,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,50,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-knife-vs-plate,early,family-representative,Thief,T-PLATE,Knight,plate,knife,thrust,spd_pa_wp,25,25,25,25,0.6950000000000001,0.6950000000000001,0.6950000000000001,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":135,""pa"":5,""ma"":3,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,25,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-knife-vs-mail,early,family-representative,Thief,T-MAIL,Squire,mail,knife,thrust,spd_pa_wp,39,39,39,39,1.1,1.1,1.1,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":135,""pa"":5,""ma"":3,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,39,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-knife-vs-leather,early,family-representative,Thief,T-LEATHER,Archer,leather,knife,thrust,spd_pa_wp,34,34,34,34,0.965,0.965,0.965,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":135,""pa"":5,""ma"":3,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,34,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-knife-vs-cloth,early,family-representative,Thief,T-CLOTH,Black Mage,cloth,knife,thrust,spd_pa_wp,36,36,36,36,1.01,1.01,1.01,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":135,""pa"":5,""ma"":3,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,36,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-ninja_blade-vs-plate,early,family-representative,Ninja,T-PLATE,Knight,plate,ninja_blade,swing,spd_pa_wp,29,29,29,29,0.65,0.65,0.65,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":105,""pa"":6,""ma"":4,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,29,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-ninja_blade-vs-mail,early,family-representative,Ninja,T-MAIL,Squire,mail,ninja_blade,swing,spd_pa_wp,33,33,33,33,0.75,0.75,0.75,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":105,""pa"":6,""ma"":4,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,33,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-ninja_blade-vs-leather,early,family-representative,Ninja,T-LEATHER,Archer,leather,ninja_blade,swing,spd_pa_wp,42,42,42,42,0.95,0.95,0.95,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":105,""pa"":6,""ma"":4,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,42,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-ninja_blade-vs-cloth,early,family-representative,Ninja,T-CLOTH,Black Mage,cloth,ninja_blade,swing,spd_pa_wp,45,45,45,45,1.0,1.0,1.0,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":105,""pa"":6,""ma"":4,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,45,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-longbow-vs-plate,early,family-representative,Archer,T-PLATE,Knight,plate,longbow,missile,spd_pa_wp,40,40,40,40,0.8450000000000001,0.8450000000000001,0.8450000000000001,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,40,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-longbow-vs-mail,early,family-representative,Archer,T-MAIL,Squire,mail,longbow,missile,spd_pa_wp,52,52,52,52,1.1,1.1,1.1,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,52,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-longbow-vs-leather,early,family-representative,Archer,T-LEATHER,Archer,leather,longbow,missile,spd_pa_wp,46,46,46,46,0.9724999999999999,0.9724999999999999,0.9724999999999999,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,46,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-longbow-vs-cloth,early,family-representative,Archer,T-CLOTH,Black Mage,cloth,longbow,missile,spd_pa_wp,48,48,48,48,1.0150000000000001,1.0150000000000001,1.0150000000000001,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,48,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-crossbow-vs-plate,early,family-representative,Archer,T-PLATE,Knight,plate,crossbow,missile,pa_wp,27,27,27,27,0.905,0.905,0.905,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,27,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-crossbow-vs-mail,early,family-representative,Archer,T-MAIL,Squire,mail,crossbow,missile,pa_wp,33,33,33,33,1.1,1.1,1.1,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,33,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-crossbow-vs-leather,early,family-representative,Archer,T-LEATHER,Archer,leather,crossbow,missile,pa_wp,30,30,30,30,1.0025,1.0025,1.0025,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,30,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-crossbow-vs-cloth,early,family-representative,Archer,T-CLOTH,Black Mage,cloth,crossbow,missile,pa_wp,31,31,31,31,1.0350000000000001,1.0350000000000001,1.0350000000000001,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,31,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-gun-vs-plate,early,family-representative,Chemist,T-PLATE,Knight,plate,gun,missile,wp_wp,122,122,122,122,1.01,1.01,1.01,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":120,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,122,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-gun-vs-mail,early,family-representative,Chemist,T-MAIL,Squire,mail,gun,missile,wp_wp,133,133,133,133,1.1,1.1,1.1,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":120,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,133,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-gun-vs-leather,early,family-representative,Chemist,T-LEATHER,Archer,leather,gun,missile,wp_wp,127,127,127,127,1.0550000000000002,1.0550000000000002,1.0550000000000002,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":120,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,127,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-gun-vs-cloth,early,family-representative,Chemist,T-CLOTH,Black Mage,cloth,gun,missile,wp_wp,129,129,129,129,1.07,1.07,1.07,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":120,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,129,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-spear-vs-plate,early,family-representative,Dragoon,T-PLATE,Knight,plate,spear,thrust,pa_wp,62,62,62,62,0.6950000000000001,0.6950000000000001,0.6950000000000001,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":2,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,62,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-spear-vs-mail,early,family-representative,Dragoon,T-MAIL,Squire,mail,spear,thrust,pa_wp,99,99,99,99,1.1,1.1,1.1,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":2,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,99,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-spear-vs-leather,early,family-representative,Dragoon,T-LEATHER,Archer,leather,spear,thrust,pa_wp,86,86,86,86,0.965,0.965,0.965,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":2,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,86,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-spear-vs-cloth,early,family-representative,Dragoon,T-CLOTH,Black Mage,cloth,spear,thrust,pa_wp,90,90,90,90,1.01,1.01,1.01,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":2,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,90,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-staff-vs-plate,early,family-representative,White Mage,T-PLATE,Knight,plate,staff,crush,ma_wp,24,24,24,24,1.15,1.15,1.15,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":120,""pa"":4,""ma"":6,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,24,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-staff-vs-mail,early,family-representative,White Mage,T-MAIL,Squire,mail,staff,crush,ma_wp,19,19,19,19,0.95,0.95,0.95,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":120,""pa"":4,""ma"":6,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,19,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-staff-vs-leather,early,family-representative,White Mage,T-LEATHER,Archer,leather,staff,crush,ma_wp,21,21,21,21,1.0,1.0,1.0,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":120,""pa"":4,""ma"":6,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,21,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-staff-vs-cloth,early,family-representative,White Mage,T-CLOTH,Black Mage,cloth,staff,crush,ma_wp,21,21,21,21,1.0,1.0,1.0,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":120,""pa"":4,""ma"":6,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,21,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-rod-vs-plate,early,family-representative,Black Mage,T-PLATE,Knight,plate,rod,crush,ma_wp,23,23,23,23,1.15,1.15,1.15,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,23,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

