area,mechanism,owner,status,current,evidence,remaining
Traits,Faith magic output/vulnerability,deep-combat-layer/08,mechanism-ready,"Raw/effective Faith and magic pipeline variables support output, healing, vulnerability, and status resistance.",work/1783983032-battle-runtime-settings.dcl-magic-pipeline-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Ratify open Faith policy and run integrated magic regression.
Traits,Zodiac compatibility,deep-combat-layer/09,mechanism-ready,Attacker/target zodiac and derived compatibility distance/multipliers are formula-owned.,work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Ratify open matchup constants and apply one policy across families.
Progression,Weapon Skill job/family grades,deep-combat-layer/10,mechanism-ready,"JP-derived job level, family grades, growth, caps, and over-cap conversion are expressed and tested.",work/1783980809-battle-runtime-settings.dcl-weapon-skill-mechanism.json; docs/modding/06-code-mod-runtime-dsl.md,Author the complete final job-family grade matrix.
Progression,Dual-wield active-weapon routing,deep-combat-layer/10,mechanism-ready,"For action type 1, orderRecord+8 is the exact weapon item id used by native formula dispatch. The calc ring, action context, formula variables, weapon-skill profile, and hit-decision key retain it end to end. Different equipped ids identify right/left; identical ids remain side-ambiguous but route through the same exact weapon family and skill.",tools/analyze_dcl_active_weapon_payload.py; work/1784078789-dcl-active-weapon-payload-checkpoint.md; codemod/fftivc.generic.chronicle.codemod/FormulaRuntimeContextBuilder.cs; codemod/fftivc.generic.chronicle.codemod/DclHitDecisionCache.cs,Live-confirm that native Dual Wield emits two separate result transactions and preserves each strike's payload; weapon/skill routing itself is closed offline.
Magic,Unified damage/heal/affinity pipeline,deep-combat-layer/11,mechanism-ready,"Magic damage, healing, Faith, Zodiac, Shell, elements, affinity, and Undead inversion share tested formula context.",work/1783983032-battle-runtime-settings.dcl-magic-pipeline-mechanism.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Author final spell powers/families and run AoE/Reflect/absorb regression.
Magic,Magic Evade,deep-combat-layer/11,partial-live-gated,"Equipment-derived Magic Evade, cap, shared hit decision, forecast paint, and authored miss delivery are implemented offline. The pure magic-multistrike resolver owns the DCL default of one spell-level roll per target and an explicit per-strike exception. RandomFire now retains that target-keyed decision across native repeats and retires it only after the final repeat.",work/1783979666-battle-runtime-settings.lt18-dcl-magic-evade.json; codemod/fftivc.generic.chronicle.codemod/DclMagicMultistrike.cs; codemod/fftivc.generic.chronicle.codemod/DclNativeRepeat.cs; codemod/fftivc.generic.chronicle.codemod/RuntimeSettingsValidator.cs,"Live-prove formula-family coverage, forecast parity, reaction suppression, and RandomFire apply/presentation ordering."
Magic,RandomFire multistrike carrier,"deep-combat-layer/11,13",mechanism-ready,"All 16 RandomFire records are mapped. The native flag selects exactly one eligible target and runs one ordinary calculation per repeat; formulas 0x1E/0x1F use the exact weighted 1..10 distribution and formula 0x5E uses X+1. Native count/index globals drive spell-level hit-decision retention, while status plans remain per repeated result.",tools/analyze_dcl_multistrike_transactions.py; codemod/fftivc.generic.chronicle.codemod/DclNativeRepeat.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs; work/1784015549-randomfire-cardinality-live-plan.md,"Live-confirm selector, pre-clamp, HP/status apply, presentation ordering, and repeated selection of the same target."
Resources,MP economy and Mana Shield,"deep-combat-layer/11,12",partial-live-gated,HP/MP debit/credit formulas and native Mana Shield redirect are mapped; native redirect is intentionally not accepted as final policy. Numeric result flags are now rebuilt atomically from the four final staged channels. Native 0x50 and 0x90 composites plus selector priority prove the bitwise contract; the partial HP+MP debit bundle is 0xA0 with HP damage as primary presentation.,tools/analyze_dcl_mana_shield.py; tools/analyze_dcl_result_flags.py; codemod/fftivc.generic.chronicle.codemod/DclResultFlags.cs; work/1784017665-battle-runtime-settings.dcl-result-flags-mechanism.json,Choose the final ratio/floor and live-prove 0xA0 popup plus Mana Shield reaction presentation.
Statuses,Authored status contest and duration,deep-combat-layer/13,partial-live-gated,"The ordinary HP-result carrier is live-proven: one basic Attack preserved its natural 14 HP debit, staged Blind only in the native add packet, produced the 0x88 HP-plus-status composite, displayed Blind through native delivery, and retained Auto-Potion as an independent downstream Reaction. Per-action 3d6 resistance, immunity, and target-turn duration ownership are implemented and tested. Twenty-two status-only actions have fail-closed retained carriers. Twenty-six ordinary damage riders are data-suppressible; support, split-result, grouped, drain, and lifecycle exceptions retain dedicated owners. The execution-only catalog-verified producer owns 82 conditional actions, two performance actions, and the two RandomFire Void actions. Performance preserves the native caster-Sleep gate; RandomFire stages one fresh exact seven-bit random-one packet per repeated result. Every owned bit is atomically replaced in the paired native packet. The exact 150-action status inventory has one mechanism owner per action, zero unowned rows, and no remaining special transaction category.",work/1784097430-lt32-dcl-native-status-packet-live.log; work/1784097818-lt32-native-status-packet-live-checkpoint.md; tools/analyze_dcl_native_status_packet_live.py; work/1783974808-battle-runtime-settings.lt14-dcl-status-add.json; work/1784068553-battle-runtime-settings.dcl-dragon-gift-rider.json; work/1784068927-battle-runtime-settings.dcl-self-destruct-rider.json; codemod/fftivc.generic.chronicle.codemod/DclStatusPacket.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusGroups.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusNativeCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusGroupedCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusConditionalCarrier.cs; codemod/fftivc.generic.chronicle.codemod/DclStatusConditionalProducer.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs; tools/analyze_dcl_status_transactions.py; tools/analyze_dcl_status_authority.py; tools/analyze_dcl_status_conditional_producer.py; tools/build_neuter_data.py,"Live-prove RandomFire per-repeat packet integration, Song/Dance tick cadence and cleanup, plus representative retained and split-result carrier verticals; the ordinary LT32 add carrier is closed."
Lifecycle,"KO, revive, instant KO and corpse state","deep-combat-layer/12,13",partial-live-gated,"Native HP/KO lifecycle and formula-owned revive credit are live-proven; direct death writes are rejected. The data-neutralized Death vertical proves that instant KO composes with the AI-facing compute-point writer: AI receives exact 3d6 expected lethal debit, confirmed execution rolls once, cached resistance or lethal debit reaches native HP apply without a second contest, and the legacy KO path remains unused. Raise proves that the writer can replace native staged revive credit while native apply clamps to MaxHP and clears Dead only after restoring HP. Corpse/crystal mechanisms remain mapped offline.",tools/analyze_dcl_instant_ko_compute.py; tools/analyze_dcl_raise_revive.py; work/1784093540-lt37a-dcl-instant-ko-compute-resist-resolved-live.log; work/1784093827-lt37b-dcl-instant-ko-compute-ko-resolved-live.log; work/1784096430-lt38-dcl-raise-revive-live.log; work/1784096697-lt38-raise-revive-live-checkpoint.md; codemod/fftivc.generic.chronicle.codemod/DclLifecycle.cs; codemod/fftivc.generic.chronicle.codemod/DclComputePointNumericPlan.cs; work/1784090430-dcl-compute-point-family-closure.md; docs/modding/04-engine-memory-model.md; work/1783987383-dcl-bequeath-crystal-offline.md,"Regress corpse/crystal transitions if their native formula, status metadata, or lifecycle tail changes."
Lifecycle,Native special-action transactions,"deep-combat-layer/11,13,15",mechanism-ready,"Song/Dance cadence, Steal/Plunder and equipment-break carriers, Dark Knight formulas, paired recoil and HP/MP drain results, the Golem team pool, and Malboro transformation have reproducible current-build offline mappings; the 512-record technical classification queue is empty.",work/1784011230-dcl-offline-formula-closure-checkpoint.md; work/1784011732-dcl-equipment-break-analysis.md; work/1784011733-dcl-recoil-paired-result-analysis.md; work/1784012424-dcl-drain-transaction-analysis.md; docs/modding/04-engine-memory-model.md,Author the per-ability DCL policies and run only the targeted cardinality/persistence integration checks.
Reactions,Chance taxonomy and native effects,deep-combat-layer/13,partial-live-gated,"Exact-id courage/caution controls, miss suppression, native effect mapping, and reaction capability/manifest reports exist.",work/1784001451-dcl-reaction-capabilities.md; work/1784001451-dcl-reaction-implementation-manifest.md,Run LT23 and reaction-family verticals; resolve design-open effects.
Reactions,"Synthetic producer, retarget and effect commit",deep-combat-layer/13,partial-live-gated,Bounded producer and exact-carrier retarget controls are log-only; state-0x2C effect/cadence probe is observe-only.,work/1784001024-dcl-reaction-producer-retarget-checkpoint.md; work/1784001519-dcl-reaction-effect-boundary-checkpoint.md,"Run LT23/LT28/LT31 before one-write carrier, retarget, managed effect, and cadence."
Equipment,Item metadata exposure,deep-combat-layer/14,mechanism-ready,"Item catalog exposes slots, range, evade, attack flags, elements, affinities, options, and status families.",codemod/fftivc.generic.chronicle.codemod/ItemCatalog.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Author DCL-only Weight, DR/class, modifiers, and special-family policy."
Equipment,"Weight, armor, helmet and accessory final data",deep-combat-layer/14,design-open,"Runtime maps can express Weight and armor DR, but final per-item values and helmet/accessory policy are not ratified.",docs/deep-combat-layer/14-equipment.md; docs/deep-combat-layer/12-open-questions.md,"Resolve design, author every existing SKU, and validate Move/Dodge breakpoints."
Metadata,Ability DCL classification,"deep-combat-layer/11,13,15",metadata-authoring,"All 512 records are explicitly routed with zero unclassified, reverse-engineering, technically blocked, or mixed mechanism/design rows. The conservative candidate classifier, approval-gated template, and fail-closed runtime overlay exist. Authored strike_count is accepted only for managed_multistrike policies; native_multistrike policies preserve engine repetition and cannot accidentally arm aggregate managed delivery. RandomFire defaults to spell-level per-target Magic Evade. All 180 authoring-open rows are design-only.",tools/report_dcl_ability_classification.py; tools/analyze_dcl_multistrike_transactions.py; codemod/fftivc.generic.chronicle.codemod/AbilityCatalog.cs; codemod/fftivc.generic.chronicle.codemod.settingsvalidate/Program.cs,"Resolve remaining design fields, approve each authored row, and validate the complete overlay."
AI,AI-visible rewritten scoring,"deep-combat-layer/00,11,12",proven-live,"Enemy think-time sweeps consume the normalized staged bundle after 0x281F12 for target ranking. The permanent numeric writer publishes the complete formula-owned HP/MP bundle and flags there, leaves ordinary AI evaluations transient, caches only confirmed execution, and reuses that exact result at 0x30A5D7. LT36 proves target ranking and cached delivery. The charged Death vertical proves exact 3d6 expected lethal debit during AI evaluation and one cached sampled contest at execution.",tools/analyze_dcl_ai_scoring_boundary.py; tools/analyze_dcl_instant_ko_compute.py; tools/analyze_dcl_calc_provenance.py; work/1784089635-lt36-compute-point-writer-live-result.md; work/1784089584-lt36b-compute-point-delivery-live.log; work/1784093540-lt37a-dcl-instant-ko-compute-resist-resolved-live.log; work/1784093827-lt37b-dcl-instant-ko-compute-ko-resolved-live.log; work/1784090430-dcl-compute-point-family-closure.md; codemod/fftivc.generic.chronicle.codemod/DclComputePointCache.cs; codemod/fftivc.generic.chronicle.codemod/DclComputePointNumericPlan.cs; docs/modding/08-dcl-information-requirements.md,"Regress representative healing, MP, miss/output-control, multistrike, AoE, and authored status-scoring families in the integrated profile."
Integration,Unified final DCL runtime profile,deep-combat-layer/00-15,integration-missing,"Strict fail-closed composition and freshness validation merge the physical Weapon Skill/defense, numeric magic, and live-proven Death Instant-KO mechanisms into one validator-clean scaffold. A separate runtime/data pairing gate proves that every enabled Instant-KO rule has the exact neutralized action row and rejects forced-roll or probe settings. The smoke suite proves physical Attack, magic damage, Undead healing inversion, unauthored native fallback, and Death expected/resolved debit routing. Broader status, reaction, lifecycle, item, job, and multistrike policy remain excluded rather than guessed.",tools/compose_runtime_settings.py; tools/validate_dcl_runtime_data_pair.py; work/1784094553-dcl-runtime-composition-manifest.json; work/1784094553-dcl-death-runtime-data-pair.json; work/1784094553-battle-runtime-settings.dcl-integration-scaffold.json; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Resolve design/metadata gates and extend the manifest until it produces the canonical complete profile.
Jobs,Complete job/data authoring,deep-combat-layer/15,design-open,"Job documents cover the current roster, but review/calibration and several effects/grade budgets remain open.",docs/deep-combat-layer/15-job-authoring.md; docs/job-balance/00-job-tree.md,"Ratify every job, then author NXD/TableData/ENTD values without adding items."
Validation,Whole-DCL live regression,deep-combat-layer/00-15,regression-pending,"Offline build, smoke, validators, analyzers, and hook guards are extensive; the final integrated battle matrix does not yet exist.",codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs; tools/audit_runtime_hook_anchors.py,Run forecast/player/AI/multi-hit/AoE/status/reaction/KO/equipment/job regression on the integrated profile.
